400|ff800000|11|Left,Right|Skechers|Casual|Male
401|ff008000|13|Left,Right|NIKE|Boot|Male
402|ff000000|11.5|Left,Right|Sperry Top-Sider|Sport|Male
403|ff00ffff|12|Left,Right|KEEN|Sandal|Male
404|ff32cd32|8|Left,Right|FRYE|Casual|Male
405|ff3cb371|13|Left,Right|Aldo|Sport|Male
406|ffffc0cb|12|Left,Right|Brooks|Boot|Male
407|ff7b68ee|13|Left,Right|KEEN|Boot|Male
408|ff8fbc8f|9.5|Left,Right|ASICS|Formal|Male
409|ffffe4e1|12|Left,Right|Converse|Sandal|Male
410|ffdda0dd|11.5|Left,Right|AX Armani Exchange|Sport|Male
411|ff9acd32|10.5|Left,Right|NIKE|Sandal|Male
412|ff8b008b|14.5|Left,Right|Dansko|Sandal|Male
413|ff228b22|8.5|Left,Right|New Balance|Formal|Male
414|ffba55d3|9|Left,Right|CLARKS|Formal|Male
415|ff696969|14|Left,Right|Lacoste|Boot|Male
416|ffa9a9a9|9.5|Left,Right|Carhartt|Formal|Male
417|ff0000ff|10|Left,Right|Merrell|Sandal|Male
418|ffb0c4de|14|Left,Right|Timberland|Formal|Male
419|ff6a5acd|9.5|Left,Right|CLARKS|Boot|Male
420|ffee82ee|9|Left,Right|ASICS|Sport|Male
421|ffdb7093|10|Left,Right|Ted Baker|Sandal|Male
422|ff00ced1|13.5|Left,Right|Sperry Top-Sider|Sport|Male
423|ffb0e0e6|13.5|Left,Right|AX Armani Exchange|Boot|Male
424|ff7fff00|14|Left,Right|Sperry Top-Sider|Casual|Male
425|fffff0f5|11|Left,Right|Lacoste|Sport|Male
426|ff4682b4|10.5|Left,Right|Merrell|Casual|Male
427|ff00ffff|8.5|Left,Right|RockDove|Boot|Male
428|ff4b0082|11|Left,Right|New Balance|Sandal|Male
429|fff5fffa|12|Left,Right|Aldo|Sport|Male
430|ff000080|11|Left,Right|Merrell|Formal|Male
431|fff4a460|10|Left,Right|Skechers|Sandal|Male
432|ffcd853f|8.5|Left,Right|Lacoste|Formal|Male
433|ff87cefa|9.5|Left,Right|RockDove|Formal|Male
434|fff4a460|12.5|Left,Right|PUMA|Sandal|Male
435|ff778899|15|Left,Right|Lacoste|Casual|Male
436|fffff5ee|13|Left,Right|Converse|Casual|Male
437|ff4b0082|13|Left,Right|Van Heusen|Sandal|Male
438|ff6b8e23|9|Left,Right|Salomon|Boot|Male
439|fff0f8ff|14.5|Left,Right|Van Heusen|Formal|Male
440|ff5f9ea0|13|Left,Right|Carhartt|Formal|Male
441|ff000080|15|Left,Right|Reef|Sandal|Male
442|ff008b8b|8.5|Left,Right|Sperry Top-Sider|Boot|Male
443|ffadff2f|9.5|Left,Right|Timberland|Boot|Male
444|ffffefd5|8|Left,Right|NIKE|Boot|Male
445|fff0f8ff|15|Left,Right|PUMA|Casual|Male
446|ffff1493|9|Left,Right|Adidas|Formal|Male
447|ffff4500|8|Left,Right|NIKE|Sandal|Male
448|fff5f5dc|12.5|Left,Right|Cherokee|Sandal|Male
449|ff5f9ea0|11|Left,Right|Adidas|Boot|Male
450|ffffebcd|13|Left,Right|Calvin Klein|Boot|Male
451|ffffffe0|14|Left,Right|FRYE|Sport|Male
452|ff8b4513|10.5|Left,Right|Skechers|Sport|Male
453|fff5fffa|9.5|Left,Right|ASICS|Casual|Male
454|ffadff2f|9|Left,Right|Adidas|Boot|Male
455|ff000080|11|Left,Right|Cherokee|Formal|Male
456|ff00ced1|8.5|Left,Right|KEEN|Boot|Male
457|fffffacd|14|Left,Right|New Balance|Casual|Male
458|ffe9967a|12|Left,Right|Salomon|Sandal|Male
459|ff00ced1|12.5|Left,Right|AX Armani Exchange|Sandal|Male
460|fff0ffff|11.5|Left,Right|Adidas|Sport|Male
461|ffe6e6fa|14|Left,Right|FRYE|Formal|Male
462|fffaf0e6|12|Left,Right|Adidas|Formal|Male
463|fffaf0e6|12.5|Left,Right|Calvin Klein|Formal|Male
464|ffdda0dd|11.5|Left,Right|Merrell|Sport|Male
465|fff0e68c|9.5|Left,Right|Merrell|Sandal|Male
466|ff808000|10.5|Left,Right|Skechers|Formal|Male
467|fffffff0|14|Left,Right|Timberland|Casual|Male
468|ffadd8e6|13.5|Left,Right|Reef|Formal|Male
469|fff5fffa|9.5|Left,Right|FRYE|Sandal|Male
470|ff008000|8.5|Left,Right|PUMA|Boot|Male
471|fff0e68c|8|Left,Right|Van Heusen|Sport|Male
472|ffb22222|9.5|Left,Right|Skechers|Casual|Male
